GCPA,Greedy,Baseline,Better Baseline
28,21,40,29
24,21,40,32
26,21,40,25
27,21,40,27
29,19,41,29
28,22,39,26
27,22,39,31
29,21,43,29
29,21,43,27
29,21,43,32
27,21,40,28
26,21,40,27
26,21,40,29
28,21,40,28
28,21,40,27
28,21,40,27
26,21,40,27
28,20,38,26
28,18,37,26
26,21,37,27
29,18,37,28
24,24,41,30
25,24,41,25
28,22,41,32
28,22,41,29
28,22,41,28
21,11,26,11
26,21,41,27
14,1,1,1
26,22,37,28
26,22,37,29
26,22,37,28
27,20,46,28
26,18,37,28
29,21,37,27
26,15,34,18
27,20,38,28
27,20,38,27
27,20,38,26
26,22,44,26
28,23,44,27
27,23,39,29
28,21,38,28
26,21,38,28
30,21,38,30
27,21,38,24
24,21,38,25
27,18,37,26
29,22,45,30
28,22,45,30
30,22,45,29
26,21,36,29
27,21,36,27
27,21,41,28
24,21,41,28
28,21,41,29
24,21,41,24
24,21,41,30
29,21,33,28
27,21,33,29
26,20,39,26
28,21,39,26
27,21,43,30
27,21,43,29
22,19,36,31
19,19,36,28
28,20,33,24
30,20,33,30
28,20,33,28
28,19,36,28
29,21,44,29
29,21,44,29
29,21,44,27
27,21,44,29
26,21,44,29
28,21,44,26
28,21,44,27
21,21,44,31
27,21,44,27
28,20,37,32
29,22,37,31
28,22,37,31
29,21,39,28
29,21,39,29
27,19,37,29
22,19,37,27
23,20,43,29
23,20,43,27
25,21,39,30
27,22,42,30
29,19,41,31
28,19,41,26
25,19,41,26
30,19,41,28
19,19,41,22
27,19,41,26
26,19,41,30
23,19,41,26
27,19,41,27
26,19,41,28
24,21,42,24
21,21,42,27
25,20,41,25
29,20,41,28
27,20,41,26
27,20,39,27
27,20,39,26
28,23,42,25
24,23,42,31
27,20,41,24
28,24,41,28
12,1,1,1
19,1,1,1
31,22,40,30
24,22,40,25
28,21,39,25
27,19,42,27
27,20,44,34
26,21,43,25
22,22,46,25
31,21,39,27
27,21,39,27
18,21,41,26
28,19,39,23
27,19,39,30
28,19,39,27
26,19,39,29
29,21,43,29
28,22,46,27
30,18,43,29
30,18,43,27
30,18,43,30
23,21,36,30
27,21,36,25
28,21,36,27
29,21,36,29
25,20,33,29
27,19,38,29
29,22,46,27
28,22,46,28
29,20,41,28
28,20,41,29
27,20,41,27
27,20,41,25
28,20,38,26
27,21,36,28
28,20,38,31
23,23,41,29
21,21,39,28
25,20,38,28
28,19,38,29
32,23,46,27
25,22,43,30
26,21,44,28
29,20,38,28
27,20,43,28
29,21,43,24
27,19,37,30
21,21,39,28
27,21,42,25
25,20,38,26
27,22,43,28
27,20,36,25
23,20,43,28
27,20,47,22
22,21,43,26
31,20,47,25
26,20,43,29
28,21,43,30
25,21,43,27
22,14,28,22
29,20,36,30
28,21,43,31
26,21,43,26
21,21,39,23
26,21,43,26
21,21,39,31
29,19,47,27
22,21,37,27
29,19,47,29
27,20,45,25
27,20,45,26
27,20,45,25
26,21,44,28
26,21,44,28
26,21,44,28
27,20,45,30
27,20,45,27
27,20,45,29
3,1,1,1
22,20,41,28
28,20,41,26
29,21,43,27
30,20,41,26
22,14,28,21
21,21,39,30
27,19,39,29
25,20,33,24
23,21,42,29
26,20,38,28
10,10,18,13
29,21,36,29
26,21,43,26
23,22,37,27
26,22,37,29
28,20,35,27
24,20,35,27
24,20,35,29
